Site-code;H;Brosimum lactescens;Eschweilera coriacea;Helicostylis tomentosa;Hevea brasiliensis;Jacaranda copaia;Laetia procera;Licania heteromorpha;Metrodorea flavida;Protium altissimum;Protium heptaphyllum;Pseudolmedia laevis;Rinorea guianensis;Siparuna decipiens;Socratea exorrhiza;Theobroma cacao;Trattinnickia burserifolia;Ht-min;Ht-average;Ht-max;sdHt;D-min;D-average;D-max;sdDBH;Wd-min;Wd-average;Wd-max;sdWD
ABU;4,761410839;0,005649718;0,005649718;0;0,020715631;0;0,001883239;0;0,011299435;0;0;0,007532957;0,032015066;0;0;0;0;4;15,86843563;47;7,85421249;10;23,00677966;143,5;15,81035937;0,254761111;0,595411517;0,92275;0,160293655
AFL;3,399585707;0;0;0;0;0;0;0;0,017094017;0;0;0;0;0;0,015384615;0,003418803;0;10,21718554;14,05745092;34,36524355;3,68348998;10;19,98683761;109,3;11,8747234;0,23;0,585954717;0,827439394;0,162351416
AMD;3,987196291;0;0,132450331;0,002207506;0;0,004415011;0,002207506;0;0;0;0;0;0;0;0;0;0,002207506;10,21718554;15,26121225;39,41173724;4,963415408;10;24,27792494;143,2;18,81985508;0,254761111;0,667314873;0,9295;0,162871827
ATP;3,736385431;0;0;0;0;0;0;0;0,009345794;0,102803738;0;0,009345794;0;0;0;0;0;3,5;14,80841121;39;5,308254901;10,1;22,32803738;152,8;20,65900961;0,319;0,583394422;0,9;0,124036613
BDF;5,667865394;0,001390015;0,02953782;0,002664196;0;0,00127418;0,000579173;0,00984594;0;0;0,000810842;0,005212556;0,003243368;0,001621684;0;0;0,000115835;10,21718554;14,36508255;44,25939719;3,891705667;10;20,94898645;180;12,79433456;0,21;0,69285743;1,1125;0,13840261
BNT;4,543967529;0;0;0;0;0,00083682;0,00167364;0;0;0;0;0;0,020502092;0;0;0;0;10,21718554;14,67530547;36,41110878;4,003654706;10;21,87020921;122,5;13,31589185;0,254761111;0,690511545;1;0,126328014
CAJ;4,249789678;0,002754821;0,011019284;0,005509642;0;0,005509642;0;0,002754821;0,085399449;0;0;0;0;0;0,013774105;0;0;3;14,95933358;45;6,347340081;10;22,41983471;178,5;19,99030685;0,23;0,644877185;1,19;0,159214636
CAR;3,409981464;0;0,015151515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,21718554;16,10485662;34,95044153;6,209542636;10;27,95454545;113;23,05273674;0,33795;0,637240148;0,924;0,147644303
CAX;4,859132013;0,00052521;0,038865546;0;0,035189076;0,011029412;0,00105042;0,004726891;0;0;0;0,00105042;0,030987395;0,00052521;0;0;0,00052521;10,21718554;15,29899037;45,6354079;4,609743443;10;24,08518908;191,2;16,78696574;0,2;0,681493944;1,1125;0,15208734
CCA;4,364542494;0,002808989;0,011235955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18,12837079;37;6,829646116;10;25,50758427;110,2;14,63859933;0,266;0,656155452;0,92275;0,153384798
CNA;3,98235103;0;0,001792115;0;0,003584229;0;0;0;0;0;0,007168459;0;0;0;0;0;0;5;16,29032258;57;7,689318262;10;23,91362007;127,5;14,62639436;0,326;0,657591755;0,9295;0,152807268
COT;3,5840897;0;0,042682927;0,018292683;0;0,00304878;0,027439024;0;0;0,182926829;0;0;0;0;0;0;0;14,52157405;18,8039265;42,47859093;3,96140424;20;34,69695122;166;16,37697878;0,2;0,579626437;0,87775;0,132871371
CPP;4,307529475;0;0,162046908;0;0;0,003198294;0,001066098;0,002132196;0;0;0;0;0;0;0;0;0,004264392;10,21718554;15,17457564;43,75778248;4,61718499;10;23,73688699;176;16,54679286;0,254761111;0,639311515;1,1125;0,173380716
CRG;4,034817691;0;0;0;0;0,00913242;0;0;0,011415525;0;0;0;0;0;0,00456621;0;0;10,26888005;14,24933445;37,81693942;3,279970358;10,1;20,24018265;132;10,67058584;0,2;0,624979855;0,99;0,125323479
CTU;3,151206315;0,003968254;0,023809524;0,01984127;0;0;0,007936508;0;0,063492063;0;0;0,007936508;0;0;0;0,011904762;0;10,21718554;16,27344305;42,78898519;5,373667146;10;27,63214286;168,4;20,03159553;0,2;0,649397215;0,92275;0,136269073
DOI;5,060822377;0,008333333;0,005555556;0,002777778;0,011111111;0,005555556;0;0;0,023611111;0;0;0,006944444;0;0;0,004166667;0;0;10,21718554;14,7284915;40,67628253;4,533286943;10;22,42125;152,4;16,33962329;0,2;0,606366807;0,924;0,160615575
DUK;5,607938479;0,001732816;0,024094397;0,003795693;0;0,000990181;0,000577605;0,004125753;0;0;0,000412575;0,002722997;0,001237726;0,000990181;0,00016503;0;0,000577605;10,21718554;15,41405984;49,01264787;4,425601213;10;24,2674148;220,1;15,06389889;0,23;0,691058386;1,1125;0,129182204
ETA;2,417460063;0;0;0;0;0,00990099;0;0;0;0;0;0;0;0;0;0;0;10,787;17,80627346;36,719;5,493660869;10,1;24,37524752;132;19,47482686;0,2;0,70139526;1,03;0,155079128
FEA;4,601585545;0,000259067;0,039711325;0;0,000777202;0,002590674;0,000703183;0,000555144;0;0;0;0,000148038;0;0;0;0;0;13,31544017;26,53663265;48,16510074;6,404248348;10,05856888;41,27276323;268,9712249;23,29882192;0,2;0,674786373;0,939333333;0,150856477
FEC;4,339314343;0,004175365;0,010438413;0,004175365;0,006263048;0,004175365;0;0;0,018789144;0;0;0,033402923;0;0;0,004175365;0;0;10,26888005;14,27664719;36,69646048;3,875944536;10,1;20,69770355;124,4;13,0750991;0,23;0,601141148;0,908666667;0,150150278
FRE;3,979915131;0;0,045714286;0,017142857;0;0,005714286;0,011428571;0;0;0;0;0;0;0;0;0;0;5;17,56114286;35;4,986669455;10;20,82228571;102,5;13,49515091;0,254761111;0,674750076;1,1125;0,165981671
GAU;3,383978255;0;0;0;0;0,006195787;0;0;0;0;0,002478315;0;0;0;0;0;0,001239157;2,5;12,61322711;40;5,287698014;10;20,17075589;128,2;14,05120862;0,293;0,634925755;0,92;0,156560888
GMT;4,442317362;0;0,053571429;0,005952381;0;0,005952381;0,003968254;0,009920635;0;0;0;0;0;0;0;0;0,003968254;10,21718554;14,66528685;36,86068297;4,246117057;10;22,01984127;125,5;14,88838003;0,254761111;0,624722238;0,92275;0,156049654
IPM;5,213215027;0,001518987;0,012151899;0,00556962;0,006075949;0,000506329;0;0,004556962;0;0;0;0,004556962;0,001012658;0;0;0;0;10,21718554;14,78120547;37,39323768;4,043666318;10;22,19088608;129,1;13,33586278;0,3115;0,674351243;1,1125;0,137270018
JBI;3,528241974;0;0,024193548;0;0;0,032258065;0,072580645;0;0,072580645;0;0;0;0;0;0;0;0;8;17,42699193;45;7,345141824;10;21,2;110,4;18,42750683;0,254761111;0,607870116;0,895;0,152386093
JFR;2,566905143;0;0;0;0,009338205;0,001218027;0;0;0;0;0,09500609;0;0;0;0,017458384;0,022330491;0,11408851;10,21718554;14,13925742;39,03307011;3,866923932;10;20,32838002;140,5;13,17849044;0,2;0,510239896;0,939333333;0,120549659
JRI;4,273545194;0;0,090909091;0;0;0,004545455;0;0;0;0;0;0;0;0,002272727;0;0;0;10,21718554;14,55019984;44,91565038;4,305375446;10;21,75045455;185,3;15,53722108;0,350666667;0,701260067;0,99;0,139367704
LFA;4,216251994;0,004347826;0,015217391;0,002173913;0;0;0,004347826;0;0,030434783;0;0,006521739;0;0;0;0;0;0;10,26888005;14,98462307;40,85190051;3,219923807;10,1;22,21304348;153,7;11,08825182;0,265;0,615773692;0,99;0,128572904
MIN;4,730694783;0;0,013333333;0,001481481;0;0,001481481;0;0,004444444;0;0;0;0,01037037;0;0,007407407;0,02962963;0;0;10,21718554;14,08958995;35,72644752;3,37191884;10;19,87259259;118;11,03290351;0,13;0,567325417;0,94;0,154077346
MRB;4,027727745;0,006213211;0,012426422;0;0;0,004905167;0,011118378;0;0,025506867;0;0;0;0;0;0;0;0;10,21718554;13,99664173;47,5921222;4,117806683;10;20,13198169;207,7;15,687129;0,254761111;0,588396037;1,19;0,113399652
MTH;4,552621856;0,00212766;0;0;0,00212766;0;0;0;0;0;0;0,008510638;0;0;0,008510638;0,00212766;0;10,21718554;14,18495874;43,92141778;3,637094516;10;20,29085106;177,3;12,98045034;0,2;0,581219594;0,94;0,152783548
MTM;1,18496064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,32032294;15,80021279;24,78856531;4,009385551;10,2;25,06470588;57,4;12,1571461;0,266;0,291042017;0,326;0,024149041
MUF.U;0,013226859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,21718554;14,43243561;44,13451285;4,149927047;10;21,31573237;179;14,87178024;0,393016667;0,413851319;0,62772391;0,062304411
ODE;4,173353046;0;0;0;0;0,002830856;0;0,000707714;0;0;0;0,005661713;0;0;0;0;0;10,32032294;15,64569542;40,73039719;3,758685166;10,2;24,44253362;152,8;13,87807934;0,211666667;0,61646099;1,043333333;0,126165275
PAC;4,04455943;0,005785921;0,004821601;0,017839923;0,006268081;0,00144648;0,003375121;0;0,009161041;0;0,00144648;0,022661524;0;0;0;0,005303761;0,00096432;10,21718554;15,50571068;57,83199291;4,87727927;10;24,90848602;305;17,98506014;0,2;0,628289961;1;0,12538472
PEC;4,127495647;0,000776398;0;0;0;0;0;0;0;0;0;0,026397516;0;0;0,001552795;0,000776398;0;1,96;16,60076658;47,66;7,657363515;10;24,55582298;154,6;17,42262629;0,13;0,566245611;0,924;0,144874165
PGR;3,840875057;0,007936508;0,03968254;0;0;0;0,007936508;0,015873016;0;0;0;0;0;0;0;0;0;10,21718554;14,00429208;34,39712315;4,077803045;10;20,11269841;109,5;14,2588021;0,38;0,704359885;0,929;0,125416728
