Variable;1;2;3;4
spH_10;0,567;-3,114;0,095;1,580
genH_10;0,559;-3,451;0,139;0,795
famH_10;0,261;-3,729;0,165;0,590
dmean_10;5,236;0,397;-0,103;-0,181
dmax_10;1,359;-0,639;-0,007;0,478
dsd_10;1,914;-0,698;0,019;-0,462
wdmean_10;0,597;-1,869;0,057;0,835
wdsd_10;0,383;-3,321;0,171;-0,263
spH_70;2,558;-1,791;-0,020;2,012
genH_70;2,372;-1,854;-0,003;1,671
famH_70;2,012;-2,064;0,022;1,438
dmean_70;-0,340;-1,584;0,103;-0,485
dmax_70;1,344;-0,855;0,004;0,480
dsd_70;-0,125;-0,871;0,053;-0,206
wdmean_70;0,603;-1,902;0,058;0,834
wdsd_70;0,469;-1,926;0,088;0,065
Alexa grandiflora_10;7,919;-0,136;-0,123;-0,136
Brosimum rubescens;-0,221;2,369;-0,162;1,347
Carapa guianensis_10;7,875;-0,167;-0,123;-0,066
Conceveiba guianensis_10;7,900;-0,160;-0,133;0,215
Ecclinusa lanceolata;7,938;-0,127;-0,125;-0,089
Eperua rubiginosa_10;7,938;-0,124;-0,124;-0,124
Eschweilera coriacea_10;7,204;-0,285;-0,163;1,624
Eschweilera odora;-0,190;-0,190;0,019;-0,190
Eschweilera pedicellata_10;7,896;-0,156;-0,136;0,290
Eschweilera truncata;-0,207;-0,207;-0,171;5,449
Eschweilera wachenheimii;-0,200;-0,200;-0,170;5,409
Euterpe precatoria;-0,269;-0,269;-0,013;0,935
Goupia glabra_10;7,889;-0,171;-0,139;0,411
Guarea pubescens_10;7,937;-0,128;-0,124;-0,116
Inga auristellae_10;7,938;-0,125;-0,124;-0,125
Iriartea deltoidea;-0,360;-0,360;0,037;-0,360
Iryanthera paraensis;7,937;-0,128;-0,124;-0,128
Lecythis idatimon;-0,333;-0,333;0,034;-0,333
Lecythis lurida_10;7,932;-0,135;-0,123;-0,135
Licania canescens_10;7,924;-0,147;-0,125;-0,066
Licania heteromorpha;0,647;-0,375;-0,135;4,226
Licania octandra_10;7,407;-0,202;-0,121;0,178
Metrodorea flavida;-0,371;-0,371;0,038;-0,371
Micropholis acutangula_10;7,937;-0,129;-0,125;-0,091
Micropholis guyanensis;-0,360;-0,360;-0,146;5,029
Micropholis longipedicellata;7,938;-0,124;-0,124;-0,124
Micropholis venulosa_10;7,916;-0,138;-0,134;0,197
Minquartia guianensis_10;7,726;-0,205;-0,157;1,063
Mouriri apiranga;7,850;-0,144;-0,121;-0,144
Neoxythece elegans;7,907;-0,140;-0,122;-0,140
Oenocarpus bacaba;-0,271;-0,271;-0,143;4,747
Oenocarpus bataua;-0,258;-0,258;-0,099;3,423
Pouteria caimito_10;7,930;-0,142;-0,130;0,070
Protium altsonii;7,762;-0,187;-0,151;0,858
Protium apiculatum;0,796;-0,284;-0,069;2,050
Protium decandrum_10;7,902;-0,166;-0,129;0,101
Protium hebetatum;-0,195;-0,195;-0,160;5,102
Protium tenuifolium_10;7,930;-0,145;-0,123;-0,109
