"";"PC1";"PC2"
"spH_10";0,0125946485560101;-0,205003214690073
"genH_10";0,0111435835821904;-0,157085925819998
"famH_10";0,00649637182188629;-0,1396864046104
"dmean_10";0,0751678470042006;0,0354247900178237
"dmax_10";0,0217757532123516;-0,0305462184659115
"dsd_10";0,0278400564401644;0,0412454564007867
"wdmean_10";0,0117437562963252;-0,121740162826387
"wdsd_10";0,0062251451449115;-0,0484510505963127
"spH_70";0,0423096773129229;-0,211002537583092
"genH_70";0,0391758498603752;-0,193721530740393
"famH_70";0,0334666259193896;-0,181360600040511
"dmean_70";-0,00475853238039476;0,0197359801508567
"dmax_70";0,0216477270356188;-0,0365205832347656
"dsd_70";-0,000663342276615281;0,0119715976076953
"wdmean_70";0,0118239419196675;-0,129130822651858
"wdsd_70";0,00842384169463195;-0,0702614229605972
"Alexa grandiflora_10";0,112448084561021;0,0252710935731813
"Brosimum rubescens";-0,00199799992471617;-0,0468377951542286
"Carapa guianensis_10";0,112150563215962;0,0170319928529798
"Conceveiba guianensis_10";0,112790216121341;0,00148824212824142
"Ecclinusa lanceolata";0,112781306850045;0,0216907771963115
"Eperua rubiginosa_10";0,112749801800399;0,0237354196588385
"Eschweilera coriacea_10";0,105460907338642;-0,0833359208541477
"Eschweilera odora";-0,00225074621259385;-0,0354764716189729
"Eschweilera pedicellata_10";0,112861024789173;-0,00106104213541601
"Eschweilera truncata";0,0040898647705725;-0,302323503119952
"Eschweilera wachenheimii";0,00369648835740861;-0,295898698634163
"Euterpe precatoria";-0,00323062352585247;-0,0671502735586084
"Goupia glabra_10";0,112900335531405;-0,00842142017522444
"Guarea pubescens_10";0,112755084441243;0,0228235273082906
"Inga auristellae_10";0,112758276486282;0,0236793192208949
"Iriartea deltoidea";-0,00632948818154401;0,00706329903786028
"Iryanthera paraensis";0,112750155289164;0,0231265113669621
"Lecythis idatimon";-0,00123718693043462;-0,0238926267764877
"Lecythis lurida_10";0,112663465503554;0,0246387436419943
"Licania canescens_10";0,112831749413608;0,0172629703063762
"Licania heteromorpha";0,0150604659918447;-0,253062367045319
"Licania octandra_10";0,106586612767246;-0,00972940028533381
